348,,1日目,木こりトーマス,灰,,,,,,,,,村人,霊潜伏とかしたくないよー。投票COも遺言COもぶっちゃけ面倒くさい＞＜,,,,,,,,,,,,,,,,,,,,,
349,275,1日目,少年ペーター,白,,,,,,,,,人狼,兵>>274☆潜伏は否定してません。寧ろ、肯定的に捉えてます。霊ＣＯの結果、大変になる人も出てくるからと考えてます。それと、潜伏している霊に占いを当てない方法は思いつきません。寧ろ、そんな方法があればこちらから提案したいです。,,,,,,,,,,,,,,,,,,,,,
350,276,1日目,少年ペーター,白,,,,,,,,,人狼,■5について【Operation?WhiteAiming】私の前世の記憶で恐縮ですが、以前に2dまとめ白狙い（1dではまとめが出来るかわからないため）を提案したことがあります。一般的に、白狙いは占無駄打ちを考えている狼の思考と言うことで私自身疑われたことがあります。しかし、新規参加者が増えた今、まとめが出来る白狙いもありなのではと考えた結果、まとめ適正テストによる1dまとめ白狙いを考案しました。,,,,,,,,,,,,,,,,,,,,,
351,277,1日目,少年ペーター,白,,,,,,,,,人狼,これは、■5の議題解答順に並べたものです。者旅青老修羊妙樵宿神商書兵|間灰灰占灰灰灰占灰灰灰灰灰灰|寛 Ａ Ａ Ａ Ａ Ｂ Ａ Ｂ Ａ A Ａ B Ａ Ａ |平この問題は、人間（妖怪？）の損失回避性によるもので、Aを選択しがちです。期待値はA:３０００円　B:４０００×８０／１００＋０＝３２００円　合理的に考えるとBが正解です。灰の中からＢを選択しているのは修と妙と商になります。 ,,,,,,,,,,,,,,,,,,,,,
352,278,1日目,少年ペーター,白,,,,,,,,,人狼, （続き）他、期待値に言及している旅と、脳内で合理的判断にたどり着いている宿も適正ありと判断します。ならば、この５人から占希望を出すべきでしょうか？実は、■5にはもう一つの仕掛けがあります。【Operation?Mathemazic】この国において数字が使われているのは、主にアンカになります。発言が増えるに従い、アンカも増えます。,,,,,,,,,,,,,,,,,,,,,
353,279,1日目,少年ペーター,白,信頼度,,,,妙:信頼度高 修:信頼度高 宿:信頼度高,,,,人狼,（続き）そうした中で、数字部分に目移りして発言を取りこぼしてないかもまとめに必要な能力だと考えています。具体的には年>>190の[その際、理由は要りません]の部分です。それを考慮すると、理由を述べている旅、商は除かれ、妙、修、宿がまとめに相応しいと判断できます。勿論、妙は占候補ですので、まとめ狙いで修（若しくは宿）に占希望を出したいと考えてます。,,,,,,,,,,,,,,,,,,,,,
354,280,1日目,少年ペーター,白,希望,,占い希望:修宿,,,,,,人狼,（続き）黒狙いの場合は旅と考えてます、期待値にまで言及しつつＡを選択、旅>>209で理由を述べたことに反省する部分です。穿った見方をすれば、占回避を考える狼の行動に感じます。ラインは水棲系の神になるでしょうか（ナイナイ）？最終的な占希望は発言を見て判断しますが、現状では【●修○宿】で考えてます。勿論、まとめ狙いです。修>>196が見えたので、【僕もＡ型】です。宜しくお願いします。@9,,,,,,,,,,,,,,,,,,,,,
355,281,1日目,木こりトーマス,白,,,,,,,,,村人,お昼ー。年>>271>>273が見えた。ふむ。【僕は今日占先にならなければ先制COする気がある霊じゃないんだな】これでOK？あと投票COするなら誰が誰に投票するか明日まとめた方がいいんだな。羊>>267　返答ありがとなんだな。ふむ。僕はどの役職でも素村視点で回答するから、羊>>219でヨアの回答が非霊視点なのを要素に取ってるのが疑問だったんだけど、普段から変えることもあるなら、まぁ理解の範,,,,,,,,,,,,,,,,,,,,,
356,282,1日目,少年ペーター,白,,,,,,,,,人狼,兵>>260☆霊のＣＯ方法は、妙青の占師s同士で方法を決めてもらいたいと考えてます。灰としては下手に透けてしまわないように、対応可能かどうかの発言のみに留めて置くべきかと。間寛平さんとバレーを食べに行ってきます。それでは又夜に・・・。@8,,,,,,,,,,,,,,,,,,,,,
357,283,1日目,旅人ニコラス,白,,,,,,,,,村人,年>>273☆回答ありがとデス。霊潜伏を肯定的に捉えつつ、潜伏霊に占い当てるリスクを嫌うとは、慎重派なのデス。占真贋はまだ考えてなかったのデス。なので、一番灰に狼が多いverで発言したのデス。ただ、占ロラしても狼が吊れない真狂は嫌だなと思っていたので、それが出ちゃったかもなのデス。,,,,,,,,,,,,,,,,,,,,,
358,,1日目,少年ペーター,赤,,,,,,,,,人狼,>>クラウド了解しました。僕の表の発言から、すぐに反応は出来ないと思いますが、精一杯サポートしたいと考えてます。それでは離席します。又夜に・・・。,,,,,,,,,,,,,,,,,,,,,
359,,1日目,木こりトーマス,灰,,,,,,,,,村人,むむぅ、ペタとは相性が合わない気がするんだな。まとめ役は合理的に動くよりリスク回避のが望まれてると思うのは僕だけなのだろか？まとめ役は最後までフラットに見る必要があると思うんだな。たとえ20％でも負ける確率があるのなら、それを見過ごさず最後までその可能性を小さくすることを僕はまとめ役には求めるんだけどなぁ……。,,,,,,,,,,,,,,,,,,,,,
360,,1日目,旅人ニコラス,灰,,,,,,,,,村人,少年ペーターへ終わった時に見てくれることを期待しているのデス。ぐーぐる先生に聞いたら、年の(中の人の)まサイの個人ページっぽいのが引っ掛かったのデス。中の人バレを避けるためにも、まサイの個人ページにはOperationを書かないことをおススメするのデス。と言っても、どうやら毎回Operationをやっているようなので、中の人バレ覚悟の上だったら、申し訳ないのデス。,,,,,,,,,,,,,,,,,,,,,
361,284,1日目,シスターフリーデル,白,,,,,,,,霊潜伏反対,狩人,占は2CO確定なのですか？確定なら霊もCOして欲しいのです。確定するのか対抗が出るのかさっさと決めるのですー！とは言えどうしてもという本人の希望もあるから【今日COする霊ではないのです】念のため非霊発言には気をつけると良いのです。もし潜伏なら占いは統一なのです。ペーター>>282霊潜伏メリットありますか？占2COで。確定したら占い師が抜かれやすいとかなのですかね。ほかの潜伏推奨なひとにも聞き,,,,,,,,,,,,,,,,,,,,,
362,285,1日目,シスターフリーデル,白,,,,,,,,,狩人,聞きたいのです。霊2COなら二日目からローラーの選択肢も取れるのです。灰精査精度が上がって狼の回避もなくし、回避からの色眼鏡もなくなるのですー！トーマス>>257カタリナの>>219「視点が別れていると少しだけ真ぽい」のはどうしてなのですか？答えは>>229にあるのです。予想とは違うのですが、考えは理解したのですー！ペーター>>280割れるならまだしもお弁当になるのはイヤなのですー＞＜,,,,,,,,,,,,,,,,,,,,,
363,286,1日目,パン屋オットー,白,質問,,,,,,質問:旅,,霊能者,旅>>272 僕も狼3の意味がわかりません。もう少し違うせつめいをお願いします。,,,,,,,,,,,,,,,,,,,,,
364,,1日目,少年ペーター,赤,,,,,,,,,人狼,鳩からです。>>クラウド年>>275から、クラウドが霊ＣＯした段階で狂視するかもしれません。また、この質問をしたいと考えてます。★なぜ、このタイミングで霊ＣＯしたのか理由を教えてください。解答が難しければ、質問をせず夜に表に顔を出そうと考えてます。それと、修>>285を見ているとＳ属性に目覚めてしまいそうです。これが、狼なんでしょうか？,,,,,,,,,,,,,,,,,,,,,
365,287,1日目,木こりトーマス,白,質問,,,,,,質問:樵,,村人,★年>>280「期待値～Ａを選択」　宿>>207でレジも「頭ではB～Aを選ぶ」って言ってるけど、ニコとレジの違いは何なのだ？修>>285　返答ありがとなんだな！突っ込み忘れなら聞きたいと思ったけど、自己解決したの了解。屋>>286　横槍でごめん。ニコから旅>>283以外の説明が出たら僕びっくりなんだな。この説明で納得できないなら、ごめん白視できない(てへぺろ　って言うしかないと思うんだな。,,,,,,,,,,,,,,,,,,,,,
366,288,1日目,旅人ニコラス,白,反発,,,,,,反発:年>>280,,村人,年>>280　あまりツッコミを入れると、更に疑われそうですが、ジブンはむしろBを選んだ人がまとめ役になるのに、反対なのデス。合理的には期待値高いBが正解だとしても、Bを選んだ人全員がそうとは言いませんが、20%の0を軽視する人にまとめ役になって欲しくないのデス。まとめ役に必要なのは、どれだけ小さい確率の事態も無視せず、常に安全策を行く人だと思うのデス。,,,,,,,,,,,,,,,,,,,,,
367,289,1日目,旅人ニコラス,白,考察,妙青:占い師-狂人,,,,,,,村人,屋>>286☆潜伏霊で2占の内訳が、真狂なら灰に3狼1霊、真狼なら灰に2狼1狂1霊になるのデス。ジブンは無意識的に真狂で考えていたとも言えるのデス。,,,,,,,,,,,,,,,,,,,,,
368,290,1日目,パン屋オットー,白,考察 同調,妙青:占い師-狂人,,,,,同調:旅>>289,,霊能者,>>旅　理解したよ、ありがとう。そうだね、俺も真狂ではないかと思ってる。あまり根拠はないけど、狼からしたら、潜伏のほうが有利だしね。,,,,,,,,,,,,,,,,,,,,,
369,291,1日目,少年ペーター,白,,,,,,,,,人狼,鳩からです。樵>>287☆年>>279で言及してますが、２人の違いは[理由に言及しているかどうか]です。旅>>193■5．Aなのデス！期待値はBの方が高いですが、確実性が欲しいのデス！宿>>207■5.　頭ではBだけどそんな変わらないしAを選ぶわ。樵の値段次第ってのはなかなかいい指摘ね。今回の適正テストは、期待値による計算で求められますので、ここで分けてます。,,,,,,,,,,,,,,,,,,,,,
370,292,1日目,負傷兵シモン,白,反発,,,,,,反発:修>>285,,村人,>>285　フリーデル仮にここからFOになっても俺は２日目霊ロラは反対するぞ理由は２つだ１）狼の回避なし、回避COによる色眼鏡排除、灰精査精度上昇ってのはFOになった時点で果たしている占い師程ではないが霊能者の判定は残りの狼の数を把握できる重要な情報だろこれを問答無用で吊って手に入る情報を放棄したくない２）霊ロラは騙りも含めて霊能者に失礼だな理屈じゃないが俺はフェアに楽しみたい,,,,,,,,,,,,,,,,,,,,,
371,293,1日目,負傷兵シモン,白,,,,,,,,,村人,いつかは騙りの処理も必要だろうが２日目に始めることだとは思わないそもそも霊ロラは能力者の内訳が見えてる狼の方が言い出しやすいんじゃないか？狼が占騙りに出ていると仮定した場合、狂人に霊を騙らせれば霊ロラで狼を減らさずに霊を抹殺できるもんな村が霊ロラを主張するのが見えてる状況で俺が狼なら騙りを躊躇して確霊を喰うチャンスを狙う尼がこの時点で霊ロラを匂わせるのは狂人への騙り指示を疑うな,,,,,,,,,,,,,,,,,,,,,
372,294,1日目,少年ペーター,白,,,,,,,,,人狼,旅>>288僕としては、確実性は吊縄の余裕が無くなる中盤～終盤に必要となると考えてます。序盤から安全策に頼ると、ジリ貧になってしまうかと。僕の性格は旅>>283の通りですので、自分はまとめに向いていないです。@6,,,,,,,,,,,,,,,,,,,,,
373,,1日目,老人モーリッツ,赤,,,,,,,,,人狼,スコール、その質問は想定内じゃから平気じゃよそれじゃそろそろCOするからの,,,,,,,,,,,,,,,,,,,,,
374,295,1日目,神父ジムゾン,白,,,,,,,,,人狼,アタシジムちゃん…ゲルトちゃんの後ろにいるの。うふふ。ゲルトちゃんもイケメンねぇ…ついつい襲いたくなっちゃうわ。これは占2COで確定ね。アタシは確定情報が好きなので、統一占い希望よ。そして流れに身を任せて【アタシは今日先制COする霊じゃないわ】それと、ヨアちゃんとリザちゃんは質問への回答をありがとう。ヨアちゃんは「村と歩調を合わせたい」という調和タイプね。,,,,,,,,,,,,,,,,,,,,,
375,296,1日目,羊飼いカタリナ,白,質問,,,,,,質問:年,,村人,一言だけ☆ニコラス>>270　その2つはぜんぜん違うよ。投票COは本来は吊り先決定に使う投票をCOに(も)使おうとするもの、そのためルール的に微妙(裏技に該当する)と思う人もいるよ。遺言COはニコラスが言うとおりだけど、灰全員にやらせる、というのは非現実的だと思うねーペーターくんそんな方向に行くとは…反応に困るねー。とりあえず一つ★>>282　占同士の話し合いってそんなにうまくいくものかな,,,,,,,,,,,,,,,,,,,,,
376,297,1日目,神父ジムゾン,白,,,,,,,,,人狼,青>>211の「わかりやすい情報を～」は調和タイプの占視点として頷けるわ。考えは一貫していて違和感がないので、そろそろ灰との絡みを見たいわ。一方のリザちゃんは、黒狙いの姿勢を前面に押し出しているわね。早期から灰に探りを入れている辺りからも、その姿勢がうかがえるわ。やたらと自身の信用を気にしていることが気になったのだけれど、妙>>234を見るに、性格かしら。別に堅くならなくても良いのよ。,,,,,,,,,,,,,,,,,,,,,
377,298,1日目,老人モーリッツ,白,CO,老:霊能者CO,,,,,,,人狼,鳩を愛でるじじいじゃううむ、こんな流れになっとったか【霊能COじゃ】勝手に非霊が回らないのは珍しいと思い、潜伏も考えとったんじゃが議題回答にもある通り、わしゃFO希望じゃからななんか余計な喉を使わせてしまってすまんのうまだ老人会あるで帰れんけども、鳩がおるで質問には答えれると思うんじゃ,,,,,,,,,,,,,,,,,,,,,
378,299,1日目,羊飼いカタリナ,白,CO 確認,羊:非霊能者CO,,老:霊能者CO,,,,,村人,【モーリッツの霊CO確認】【非霊】知り合いに霊を吸収する奴はいるけどねー（ネタだよ村のまとまりが難しい気がしていたからFOがいいかな、と思っていたところ、COしてくれて個人的にはありがたかったよ。こうなったらさっさと霊非霊回すことを推奨ー,,,,,,,,,,,,,,,,,,,,,
379,300,1日目,神父ジムゾン,白,,,,,,,,,人狼,両占とも「占としてやりたいこと」が分かったので、狼探しに期待するわ。真占が真視を取れればそれだけで有利になるから、頑張ってね。☆妙>>218　状況次第だけど、占いは色が見え辛い灰に当てたいわね。あとは、確白時にまとめを任せられそうな灰を対象としたいかな。黒い灰や整理が必要だと思った灰は、どちらかといえば吊りに回したいわ。ところで、妙>>212でアタシの略称が「髪」なのは不本意ねえ…。,,,,,,,,,,,,,,,,,,,,,
380,301,1日目,木こりトーマス,白,CO 確認 質問,樵:非霊能者CO,,老:霊能者CO,,,質問:年 質問:屋,,村人,【老の霊CO確認】【非霊】★年>>291　返答ありがとだな。ごめん追加で。>>278ではレジが頭で合理的判断をしてるとしてるけど、合理的判断≠期待値判断で、レジは期待値で判断してないってこと？屋>>286から屋>>290の流れが謎い。旅>>289で納得できるなら旅>>283でも納得できそうな気が？★屋　旅>>283は読んでなかったのだ？あと、ニコの説明のどの辺が理解できなかったのだ？,,,,,,,,,,,,,,,,,,,,,
381,302,1日目,神父ジムゾン,白,CO 確認,神:非霊能者CO,,老:霊能者CO,,,,,人狼,【ご長老の霊CO確認】【アタシは非霊よ】霊潜伏も楽しそうだったけど、占2COだしFOで良いと思うわね。余白で直近で目に付いたところに横槍、兵>>293に関して。占真狼の場合、修>>284の時点で狂は霊に出ると決めていただろうから、リデルちゃんの発言は狂人への騙り指示とは思わなかったわよ。シモちゃんが霊に関して一家言あることは把握したわ。よく見たら、シモちゃんもイケメンねぇ…。,,,,,,,,,,,,,,,,,,,,,
382,303,1日目,少年ペーター,白,CO 確認 質問,年:非霊能者CO,,老:霊能者CO,,,質問:老,,人狼,鳩からです。老>>298【老霊ＣＯ確認】って、モリ老師、僕の熱い潜伏霊にかける思いががが・・・。【非霊】併せて、この質問を・・・。★なぜ、このタイミングで霊ＣＯしたのか理由を教えてください。羊>>296☆僕としては、占師s同士の話し合いで上手くまとまると考えてました。青妙ともに占真贋互角と見ていたからです。この次点で、自身の信用を落とすような発言はしないかと。@5,,,,,,,,,,,,,,,,,,,,,
383,304,1日目,ならず者ディーター,白,CO 確認 ライン,者:非霊能者CO,,老:霊能者CO,,ライン:旅屋,,,村人,【老の霊CO確認】【非霊】占2COだしな。やってはみたかったがいかんせん喉くうぜ旅視点漏れ疑惑だが、旅>>193でA選択「確実性が欲しい」旅>>288「小さい確率の事態も無視せず」と言う性格見るに場合分け考慮できてねーのは気になる。真狂も2-1ならまだしも占2しか見えてなかったからなんで、木>>301下段まるっと同意で、上手くいかなかったライン切りじゃね？ってとこまで俺の思考は暴走してるぜ,,,,,,,,,,,,,,,,,,,,,
384,305,1日目,少年ペーター,白,,,,,,,,,人狼,樵>>301☆判断理由は本人しかわかりませんが、[そんな変わらないし][樵の値段次第」と言う次点で期待値計算をしていたと推測できます。重要なのは繰り返しになりますが、【理由に言及しているかどうか】です。すいません、喉が痛いので以降の質問事項等はまとめて解答します。@4,,,,,,,,,,,,,,,,,,,,,
385,306,1日目,神父ジムゾン,白,質問,,,,,,質問:書,,人狼,ララちゃんの書>>244下段は、狼の思考隠しとしてはあからさまだし、「狼に情報を与えたくない」という意識が微村っぽいと思ったわね。ただ、アタシは「何故こう考えたか」を重視するので、思考を見たいわ。★書　書>>244「商屋の～クールです」→書>>246「黒狙いなら～候補」ここをもっと言語化してくれるかしら？　回答は明日でも可。クールと黒狙いの結び付きが少し分からなかったので、知りたいわ。,,,,,,,,,,,,,,,,,,,,,
386,307,1日目,負傷兵シモン,白,CO 確認,兵:非霊能者CO,,老:霊能者CO,,,,,村人,しばらく鳩からも発言できなさそうなのでこれだけ言っとく【老の霊CO確認】【俺は霊なんてみたくない（非霊CO）】>>302　ジムゾン狂人が潜伏決め込もうとしている可能性は否定できないと思うだからこそ尼のあの発言かなぁとそもそも占が真狼で更に潜伏狂人って限定された状況だから俺の妄想みたいなもんだな,,,,,,,,,,,,,,,,,,,,,
387,308,1日目,神父ジムゾン,白,,,,,,,,,人狼,ディタちゃんは相変わらずイケメンねぇ…。イケメンが多くてジムちゃん困っちゃうわ、うふふ♪者>>249「俺、性格考察積み重ねるから」と自己申告があるのだけど、者>>304で、拾った性格要素を考察にしっかり反映しているわね。ここは「どう見るか、何をやりたいか」が分かりやすく、同時にブレたら分かりやすそうかしら、と思ったわ。兵>>307　意図は了解したわ。シモちゃんは慎重な性格かしら。,,,,,,,,,,,,,,,,,,,,,
388,309,1日目,司書クララ,白,CO 確認,書:非霊能者CO,,老:霊能者CO 青:占い師CO 妙:占い師CO,,,,,村人,こわくないよー。ただいま。【老霊CO確認】【私は霊能者ではありません】【占2CO確定も確認】シモンさんとディタさんが朝からラブラブ？　なかよきことは美しき哉……やはり時代はディタシモね。御馳走様でした。☆者>>251＞>>244黙秘と言いつつ>>246で占いたい候補とか出てんのはちょい謎前者がさらすのは占先傾向。後者は暫定黒視。屋商への発言促しも兼ねてましたよっと。,,,,,,,,,,,,,,,,,,,,,
389,310,1日目,司書クララ,白,,,,,,,,,村人,☆宿>>253妙>>218の質問は（占候補だけに訊ねるならばともかく）夜明け早々、村全体に聞くべきでも、答えるべきでもないと思いました。「占いたいタイプ」を村全体でさらけ出す事は位置調整が得意な狼がいると、初日占当て逃しを生じやすくする恐れあり。占先希望と希望出しに生じる不自然さをみたいなら、実際の占希望から見ていかないと効果薄いと思いますよ。お決まりな返答しか見れませんし。,,,,,,,,,,,,,,,,,,,,,
390,,1日目,少年ペーター,赤,,,,,,,,,人狼,>>シャイン、クラウドお疲れ様です。現状、初回占希望はニコ姉貴若しくはリデル姉貴になりそうでしょうか？僕としては、年>>280の継続で【●修○宿】で考えてます。もし、ニコ姉貴が確白になった場合、2dに僕が占対象になりそうです。如何でしょうか？,,,,,,,,,,,,,,,,,,,,,
391,,1日目,司書クララ,灰,,,,,,,,,村人,なんだかすごい村に入っちゃったー！　はうあう！,,,,,,,,,,,,,,,,,,,,,
392,311,1日目,老人モーリッツ,白,,,,,,,,,人狼,☆年>>303議題回答見てたら潜伏なら協力するよ派が意外と多かったの更にこの村は勝手に非霊が回ったりしない落ち着いた雰囲気の村じゃこりゃ潜伏チャンスじゃのうと思ったんじゃよただ普段わしが村視点でFO希望してるのは、陣形確定してまとめ役も出来て理解し易く便利じゃったからじゃの潜伏可能なレアケに多少悩んだがやはり無難にFOの方がええと思ったからCOしたんじゃよ,,,,,,,,,,,,,,,,,,,,,
393,312,1日目,シスターフリーデル,白,CO 質問,修:非霊能者CO,,,,,質問:老,,狩人,【非霊なのですー！】モーリッツ>>298回らないから潜伏も考えた、これは何故なのですか？シモン>>293霊ローラーの【選択肢もある】なのです。選択肢が多い方が有利なのです！この場合選択権も村側にあるのですー！ただなんとなく確定しそうな雰囲気を感じますですね。カタリナ>>299ぐだぐだ不安が人っぽい？トーマス>>301そこは突っ込んだら負けな気がしますのです。。,,,,,,,,,,,,,,,,,,,,,
394,,1日目,ならず者ディーター,灰,,,,,,,,,村人,ぽいとこから霊出てきたな。安定してそうな老でほっとしたぜ。宿辺り対抗してきたらおもしろいが…確定すっかな。となるとますます視点漏れっぽいが…うーむ。旅白だったら吊るのは勿体ない気がすんだよなぁ。占い当てるかねぇ,,,,,,,,,,,,,,,,,,,,,
395,,1日目,ならず者ディーター,灰,,,,,,,,,村人,…なんだよ、安定してるとか幻じゃねぇか。発言ほとんどねぇよ。化かされた…他がキャラ濃すぎてガチステルスだったな。…潜伏いけたんじゃね？しっかし俺、今まで確霊しかあたったことねぇな。3-1とか2-1とか。3-2とは言わんから、2-2もやってみたいぜ。 ,,,,,,,,,,,,,,,,,,,,,
396,313,1日目,司書クララ,白,,,,,,,,,村人,☆宿>>253神>>306＞商屋の～クールまとめて。屋商のぽつっとした回答は一見、寡黙潜伏感があるようで黒い。ですがこの手の注目を浴びることも分かっているようでもありそこがクール。暗にもっとしゃべれ圧力込みで黒狙い占先候補と明言してみた。☆木>>257＞『スキル高い人』ってどういう人なのだ？戦略に詳しそうな人って感じで詳しさの含め、人狼との戦いの経験が豊富で場慣れしてそう、かな。,,,,,,,,,,,,,,,,,,,,,
397,,1日目,老人モーリッツ,灰,,,,,,,,,人狼,さてさてどうなる事かしかし今回のパターンを見ても、やっぱり霊能潜伏は実現難しそうなんじゃな,,,,,,,,,,,,,,,,,,,,,
398,314,1日目,神父ジムゾン,白,質問,,,,,,質問:旅,,人狼,★旅>>270　「よく分からない人を吊る」ということなのだけど、ニコちゃんの中での「よく分からない人」の定義って何かしら？差し支えなければ、回答をお願いするわ。ペタちゃんの提案は、まとめ役狙いということなのかしら。この村のメンバーを見るに、まとめ役がいなくても大丈夫だと思うわ。それに、まとめ役狙いで占って占先が白だった場合でも、偽占は自由に判定を出せるから確白になるとは限らないわ。,,,,,,,,,,,,,,,,,,,,,
399,315,1日目,司書クララ,白,,,,,,,,,村人,ざっと一読。ペタちゃんはちょっとぶっ飛んでる系だった。喉使いすぎです。オトさんがフリーダム系ぽい。アルさんの自由占論>>268はユニークだけど、「採用されるとは思ってないので」から存在感アピールに見えなくもなかったですかね。リナさんディタさんが手堅く、肩慣らしぽい。旅>>272「3狼1霊なのデス」に年>>273屋>>286の突っ込むやり取りがおもしろい。もう収まってるけど、（続）,,,,,,,,,,,,,,,,,,,,,
400,316,1日目,司書クララ,白,質問 同調,,,,,,質問:旅 同調:旅,,村人,（続）G国は狂霊が狼有利との見方もあるそうだから占：真狂とそう思い込めるものかしら？　と藪を突っついてみたり。★ニコさん　霊に狂人が騙り出る霊狂についてどれくらい考えてます？旅>>272「年>>271★言ってることがよく分からないのデス」が同感。兵>>274への返答も含めて、年の潜伏に関する戦術観が理解できなかった。でもわざと言ってそうな気もしますが。,,,,,,,,,,,,,,,,,,,,,
401,317,1日目,司書クララ,白,考察,兵:白寄り,,,,,,兵>>292>>293の霊CO促しへの反対が、修狼による狂指示出しを明言しているのは狼だったら大胆な立ち回りでしょうかね。,村人,修>>284＞確定なら霊もCOして欲しいに兵>>292>>293の霊CO促しへの反対が、修狼による狂指示出しを明言しているのは狼だったら大胆な立ち回りでしょうかね。ここの兵、美白いかしら。神>>302＞修>>284の時点で狂は霊に出ると決めていただろうからと兵に補足が白黒は別として、観察力が高そうです。3dから思考の伸びで判断付きそうに思えました。今日占いたくない枠追加。兵修神。,,,,,,,,,,,,,,,,,,,,,
402,,1日目,少女リーザ,灰,,,,,,,,,狂人,ん～～。狼はわからない。いつもどおり。村だとカウンター志向が強そうなのは修書辺りかな？突っつくとやぶ蛇になりそうな感じはある。でも、めんどくさいから突っつこ。旅屋が即死しそうな黒さを出してるけどここ狼ならどうせ厳しいし考慮しない。出来れば狩人臭いの占に引っ張り出して黒出したいなぁ。どうせ初日の黒なんて即釣りあるし、確定黒でもいいっっしょ。と単純思考でgo。,,,,,,,,,,,,,,,,,,,,,
403,318,1日目,神父ジムゾン,白,,,,,,,質問:書,,人狼,それなら色が見えないところ等を占った方がいいと思うの。確白ならまとめ役就任、斑なら情報が沢山落ちるしね。確白は狼のお弁当だし、今日は絶対に占判定を見られる日だから、占いをまとめ狙いで使うのは勿体ないわ。占いは大切よ。書>>313　ありがとう、意図把握よ。追加の質問ね。★ポツっとした回答をした人はアタシも含めて他にもいたと思うけど、屋商とその他の違いは何？　議事に乗れてない感かしら？,,,,,,,,,,,,,,,,,,,,,
404,319,1日目,行商人アルビン,白,質問,,,,,,,,村人,只今戻りました。ああ、COが出ましたね。私は【非霊】です。>ペタ君ペタ君が主張する「まとめ作るための質問■5，および初日占い」は違和感があるなぁ。１日目の占いの結果，白白が出る確率って，そんなに高く無いと思うんですよね。「合理的」であることを理論の柱にしつつ，主張は合理的ではないみたいな？　まとめ役は，必要なら3日目くらいの流れで決めれば良いと思うのです。,,,,,,,,,,,,,,,,,,,,,
405,320,1日目,行商人アルビン,白,,,,,,,,,村人,私は初日は自由占い派ですが，統一占いになったとしても，黒狙いにして，みんなの投票行動を見たいなぁ。,,,,,,,,,,,,,,,,,,,,,
406,,1日目,少年ペーター,赤,,,,,,,,,人狼,>>シャイン神>>314、>>318確認しました。確かに、この村ではまとめ役がいなくても進行していく気がします。それでは、■5.を黒狙いに修正しつつ希望を出していきます。,,,,,,,,,,,,,,,,,,,,,
407,321,1日目,司書クララ,白,,,,,,,,,村人,☆神>>318主に時間帯から。単独感が強くあっさりした回答が並んでいたからなおさら印象強かったですね。それと見返したら、たぶん非占COを兼ねているからだと今気がついた。夜明け一発言で寝ることはよくあるけれど、急に非占だけして消えてるのも私が気になった原因じゃないかしら、これ。折角なのでついでに。＼|老羊樵神年者兵書尼商|旅宿屋青妙霊|霊非非非非非非非非非|？？？占占,,,,,,,,,,,,,,,,,,,,,
408,322,1日目,青年ヨアヒム,白,CO 確認,青:非霊能者CO,,老:霊能者CO,,,,,占い師,たっだいまー。って、ぺ、ペーター。喉は大事に、ね？【爺ちゃん霊CO確認】【僕は霊は見えないよ、占だよ】まとめておくねー。＿老羊樵神年者兵書尼商旅屋宿妙青占非非非非非非非非非非非非非占占霊霊非非非非非非非非非＿＿＿＿非ふと思ったけど、アルビンは奇策好きというより、ぐだぐだの灰の中で殴り愛するのが好きな人っぽいね。の割には発言数が伸びにくいのが引っかかるかな？,,,,,,,,,,,,,,,,,,,,,
409,323,1日目,負傷兵シモン,白,,,,,,,,,村人,>>267　カタリナ返事遅れて悪い…落ち着いて考えると微妙。別に黒確定なら放置しても大した情報は出ないか…斑は少し泳がせたいと思う。斑判定に対する灰の反応って重要だと思うんだよな狼がライン切りでバッサリ吊りを主張したりとか割と露骨な反応が出る気がするからとはいえ無駄に灰を吊る意味はないか寡黙がいれば寡黙＞斑でもいいんじゃないか、って程度で前の発言との矛盾は冷静に考え直した結果だ,,,,,,,,,,,,,,,,,,,,,
410,,1日目,神父ジムゾン,赤,,,,,,,,,人狼,＞スコールうーん、その辺はお任せします。ただ、あそこまで拘っていたのに突然転換するのも不自然なので、理由はそれなりにしっかりしたものをお願い出来ればと。もう少し他灰からの意見が出てからの方が良いかもですね。,,,,,,,,,,,,,,,,,,,,,
411,324,1日目,行商人アルビン,白,,,,,,,,,村人,>>321,>>322まとめありがとうございます。>>322 ヨアヒム殴り愛を見るのは嫌いじゃないですが，定石どおりだと，序盤の引きで勝敗が決まりそうでつまらないかなぁというのが理由です。ただの趣味です。発言少なめなのは頑張ります。あとヨアには>>268に答えて貰えると嬉しいのです。,,,,,,,,,,,,,,,,,,,,
412,,1日目,行商人アルビン,灰,,,,,,,,,村人,奇策好きでも，殴り愛が好きなのでもなく，定石を知らないアルビンさんでした。,,,,,,,,,,,,,,,,,,,,,
413,,1日目,少年ペーター,赤,,,,,,,,,人狼,>>シャイン了解しました。まとめ白狙い反対に備え、方針転換用の発言を準備しつつ様子見をします。,,,,,,,,,,,,,,,,,,,,,
